
   PointCoverage.Sum   coveragePointGroup.NumberOfPoints
          None                        None
       90.000000000              2904.000000000
       94.000000000              2904.000000000
       93.000000000              2904.000000000
      100.000000000              2904.000000000
       88.000000000              2904.000000000
       98.000000000              2904.000000000
       90.000000000              2904.000000000
       99.000000000              2904.000000000
       92.000000000              2904.000000000
       91.000000000              2904.000000000
       99.000000000              2904.000000000
       87.000000000              2904.000000000
      102.000000000              2904.000000000
       91.000000000              2904.000000000
       98.000000000              2904.000000000
       92.000000000              2904.000000000
       93.000000000              2904.000000000
       97.000000000              2904.000000000
       90.000000000              2904.000000000
      102.000000000              2904.000000000
       90.000000000              2904.000000000
      100.000000000              2904.000000000
       89.000000000              2904.000000000
      100.000000000              2904.000000000
       94.000000000              2904.000000000
       87.000000000              2904.000000000
      101.000000000              2904.000000000
       90.000000000              2904.000000000
       96.000000000              2904.000000000
       83.000000000              2904.000000000
      103.000000000              2904.000000000
       91.000000000              2904.000000000
       89.000000000              2904.000000000
       98.000000000              2904.000000000
       90.000000000              2904.000000000
      101.000000000              2904.000000000
       83.000000000              2904.000000000
      103.000000000              2904.000000000
       92.000000000              2904.000000000
       93.000000000              2904.000000000
       96.000000000              2904.000000000
       92.000000000              2904.000000000
      105.000000000              2904.000000000
       87.000000000              2904.000000000
      100.000000000              2904.000000000
       92.000000000              2904.000000000
       96.000000000              2904.000000000
       96.000000000              2904.000000000
       92.000000000              2904.000000000
      101.000000000              2904.000000000
       87.000000000              2904.000000000
      104.000000000              2904.000000000
       88.000000000              2904.000000000
       99.000000000              2904.000000000
       94.000000000              2904.000000000
       93.000000000              2904.000000000
       96.000000000              2904.000000000
       90.000000000              2904.000000000
      105.000000000              2904.000000000
       91.000000000              2904.000000000
      101.000000000              2904.000000000
       89.000000000              2904.000000000
       99.000000000              2904.000000000
       95.000000000              2904.000000000
       91.000000000              2904.000000000
      102.000000000              2904.000000000
       89.000000000              2904.000000000
      101.000000000              2904.000000000
       87.000000000              2904.000000000
       99.000000000              2904.000000000
       92.000000000              2904.000000000
       94.000000000              2904.000000000
       94.000000000              2904.000000000
       93.000000000              2904.000000000
      102.000000000              2904.000000000
       88.000000000              2904.000000000
      102.000000000              2904.000000000
       90.000000000              2904.000000000
       99.000000000              2904.000000000
       93.000000000              2904.000000000
       92.000000000              2904.000000000
      103.000000000              2904.000000000
       89.000000000              2904.000000000
       98.000000000              2904.000000000
       90.000000000              2904.000000000
      101.000000000              2904.000000000
       92.000000000              2904.000000000
       92.000000000              2904.000000000
      102.000000000              2904.000000000
       90.000000000              2904.000000000
      100.000000000              2904.000000000
       87.000000000              2904.000000000
      103.000000000              2904.000000000
       91.000000000              2904.000000000
       94.000000000              2904.000000000
       99.000000000              2904.000000000
