
   PointCoverage.Sum   coveragePointGroup.NumberOfPoints
          None                        None
       60.000000000              2904.000000000
       64.000000000              2904.000000000
       61.000000000              2904.000000000
       62.000000000              2904.000000000
       61.000000000              2904.000000000
       53.000000000              2904.000000000
       50.000000000              2904.000000000
       53.000000000              2904.000000000
       57.000000000              2904.000000000
       60.000000000              2904.000000000
       63.000000000              2904.000000000
       63.000000000              2904.000000000
       61.000000000              2904.000000000
       58.000000000              2904.000000000
       54.000000000              2904.000000000
       50.000000000              2904.000000000
       56.000000000              2904.000000000
       62.000000000              2904.000000000
       65.000000000              2904.000000000
       61.000000000              2904.000000000
       64.000000000              2904.000000000
       61.000000000              2904.000000000
       52.000000000              2904.000000000
       52.000000000              2904.000000000
       53.000000000              2904.000000000
       58.000000000              2904.000000000
       64.000000000              2904.000000000
       62.000000000              2904.000000000
       61.000000000              2904.000000000
       58.000000000              2904.000000000
       58.000000000              2904.000000000
       51.000000000              2904.000000000
       52.000000000              2904.000000000
       57.000000000              2904.000000000
       58.000000000              2904.000000000
       63.000000000              2904.000000000
       63.000000000              2904.000000000
       65.000000000              2904.000000000
       57.000000000              2904.000000000
       51.000000000              2904.000000000
       52.000000000              2904.000000000
       51.000000000              2904.000000000
       61.000000000              2904.000000000
       64.000000000              2904.000000000
       62.000000000              2904.000000000
       64.000000000              2904.000000000
       63.000000000              2904.000000000
       55.000000000              2904.000000000
       51.000000000              2904.000000000
       54.000000000              2904.000000000
       58.000000000              2904.000000000
       62.000000000              2904.000000000
       62.000000000              2904.000000000
       64.000000000              2904.000000000
       62.000000000              2904.000000000
       60.000000000              2904.000000000
       52.000000000              2904.000000000
       50.000000000              2904.000000000
       57.000000000              2904.000000000
       62.000000000              2904.000000000
       64.000000000              2904.000000000
       62.000000000              2904.000000000
       61.000000000              2904.000000000
       59.000000000              2904.000000000
       49.000000000              2904.000000000
       54.000000000              2904.000000000
       50.000000000              2904.000000000
       58.000000000              2904.000000000
       62.000000000              2904.000000000
       62.000000000              2904.000000000
       63.000000000              2904.000000000
       62.000000000              2904.000000000
       57.000000000              2904.000000000
       50.000000000              2904.000000000
       52.000000000              2904.000000000
       58.000000000              2904.000000000
       62.000000000              2904.000000000
       63.000000000              2904.000000000
       62.000000000              2904.000000000
       62.000000000              2904.000000000
       58.000000000              2904.000000000
       54.000000000              2904.000000000
       51.000000000              2904.000000000
       55.000000000              2904.000000000
       63.000000000              2904.000000000
       64.000000000              2904.000000000
       62.000000000              2904.000000000
       64.000000000              2904.000000000
       61.000000000              2904.000000000
       51.000000000              2904.000000000
       52.000000000              2904.000000000
       51.000000000              2904.000000000
       57.000000000              2904.000000000
       65.000000000              2904.000000000
       63.000000000              2904.000000000
       63.000000000              2904.000000000
       58.000000000              2904.000000000
       57.000000000              2904.000000000
       52.000000000              2904.000000000
       51.000000000              2904.000000000
       57.000000000              2904.000000000
       58.000000000              2904.000000000
       61.000000000              2904.000000000
       62.000000000              2904.000000000
       63.000000000              2904.000000000
       58.000000000              2904.000000000
       51.000000000              2904.000000000
       52.000000000              2904.000000000
       52.000000000              2904.000000000
       61.000000000              2904.000000000
       64.000000000              2904.000000000
       61.000000000              2904.000000000
       65.000000000              2904.000000000
       62.000000000              2904.000000000
       57.000000000              2904.000000000
       49.000000000              2904.000000000
       53.000000000              2904.000000000
       58.000000000              2904.000000000
       62.000000000              2904.000000000
       63.000000000              2904.000000000
       63.000000000              2904.000000000
       61.000000000              2904.000000000
       57.000000000              2904.000000000
       53.000000000              2904.000000000
       50.000000000              2904.000000000
       53.000000000              2904.000000000
       61.000000000              2904.000000000
       62.000000000              2904.000000000
       61.000000000              2904.000000000
       63.000000000              2904.000000000
       59.000000000              2904.000000000
       51.000000000              2904.000000000
       53.000000000              2904.000000000
       53.000000000              2904.000000000
       57.000000000              2904.000000000
       63.000000000              2904.000000000
       62.000000000              2904.000000000
       63.000000000              2904.000000000
       61.000000000              2904.000000000
       57.000000000              2904.000000000
       52.000000000              2904.000000000
       51.000000000              2904.000000000
       62.000000000              2904.000000000
       62.000000000              2904.000000000
       63.000000000              2904.000000000
       63.000000000              2904.000000000
       62.000000000              2904.000000000
       58.000000000              2904.000000000
       54.000000000              2904.000000000
       52.000000000              2904.000000000
       52.000000000              2904.000000000
       62.000000000              2904.000000000
       65.000000000              2904.000000000
       63.000000000              2904.000000000
       63.000000000              2904.000000000
       62.000000000              2904.000000000
       54.000000000              2904.000000000
       51.000000000              2904.000000000
       51.000000000              2904.000000000
       56.000000000              2904.000000000
       60.000000000              2904.000000000
       63.000000000              2904.000000000
       62.000000000              2904.000000000
       59.000000000              2904.000000000
       57.000000000              2904.000000000
       54.000000000              2904.000000000
       50.000000000              2904.000000000
       56.000000000              2904.000000000
       62.000000000              2904.000000000
       61.000000000              2904.000000000
       63.000000000              2904.000000000
       65.000000000              2904.000000000
       61.000000000              2904.000000000
       51.000000000              2904.000000000
       51.000000000              2904.000000000
       54.000000000              2904.000000000
